,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
0,0,16.0,120.0041665943312,11.04536101718726,28.0178514522438,32.0,36.013886210738214,37.01351104664349,92.04890004774636,64.03124237432849,56.0,45.0,44.0,7.5,47.5,16.5,1.5,17.029386365926403,17.029386365926403,17.0,59.0,58.0,63.00793600809346,{}
1,1,23.08679276123039,121.01652779682615,11.0,27.018512172212592,33.0,37.0,38.05259518088089,99.12618221237013,72.11102550927978,60.5,49.0,47.0,10.0,51.0,20.0,1.0,16.0,16.0312195418814,16.0,58.0,57.0,67.0,{}
2,2,26.019223662515376,123.01625908797584,12.0,28.0178514522438,32.0,36.0,37.05401462729781,103.07764064044152,75.05997601918082,62.0,49.0,47.0,11.0,55.0,23.0,1.0,18.027756377319943,17.029386365926403,17.5,59.0,59.0,66.007575322837,{}
3,3,27.018512172212592,121.00413216084812,12.041594578792296,27.018512172212592,33.0,36.013886210738214,38.01315561749642,104.0768946500615,77.05841939723393,63.5,49.0,48.0,10.5,55.5,24.5,0.5,17.029386365926403,16.0312195418814,16.5,59.0,56.0,61.07372593840988,{}
4,4,27.018512172212592,121.00413216084812,12.041594578792296,28.0178514522438,33.015148038438355,37.0,37.01351104664349,104.0768946500615,76.05918747922567,62.5,49.0,48.0,11.5,55.5,24.5,0.5,17.029386365926403,16.0312195418814,16.0,59.0,57.0,66.03029607687671,{}
5,5,29.017236257093817,122.01639234135716,12.041594578792296,27.018512172212592,34.0,38.0,38.01315561749642,106.07544484940895,79.05694150420949,64.5,51.0,49.0,12.0,56.0,25.0,2.0,17.029386365926403,17.029386365926403,17.0,58.0,55.0,63.0317380372777,{}
6,6,31.064449134018133,122.01639234135716,12.0,28.0,33.0,37.0,38.01315561749642,109.04127658827184,81.05553651663777,65.5,52.0,50.0,13.0,58.0,27.0,3.0,16.0312195418814,15.0,15.0,59.0,57.0,64.00781202322104,{}
7,7,36.013886210738214,122.01639234135716,12.041594578792296,27.018512172212592,35.0,38.01315561749642,39.0,114.03946685248928,87.02298546935747,69.0,55.0,53.0,15.0,60.0,30.0,5.0,16.0312195418814,16.0,16.5,59.0,56.0,65.00769185258002,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
8,8,29.017236257093817,121.00413216084812,12.041594578792296,28.0178514522438,34.0,38.0,38.01315561749642,107.07474025184464,79.05694150420949,64.5,53.0,52.0,14.5,54.5,23.5,4.5,16.0312195418814,15.0,15.5,58.0,57.0,66.007575322837,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
9,9,24.020824298928627,122.01639234135716,11.04536101718726,25.0,33.015148038438355,36.0,37.01351104664349,97.04638066409278,72.06247289678588,60.0,51.0,49.0,13.0,47.0,20.0,3.0,15.033296378372908,16.0,16.0,58.0,57.0,66.007575322837,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
